#38  ENSEMBL_ID             Ensembl Gene ID
GENE_RGD_ID	SYMBOL	NAME	GENE_DESC	CHROMOSOME_CELERA	CHROMOSOME_3.1	CHROMOSOME_3.4	FISH_BAND	START_POS_CELERA	STOP_POS_CELERA	STRAND_CELERA	START_POS_3.1	STOP_POS_3.1	STRAND_3.1	START_POS_3.4	STOP_POS_3.4	STRAND_3.4	CURATED_REF_RGD_ID	CURATED_REF_PUBMED_ID	UNCURATED_PUBMED_ID	NCBI_GENE_ID	UNIPROT_ID	(UNUSED)	GENBANK_NUCLEOTIDE	TIGR_ID	GENBANK_PROTEIN	UNIGENE_ID	SSLP_RGD_ID	SSLP_SYMBOL	OLD_SYMBOL	OLD_NAME	QTL_RGD_ID	QTL_SYMBOL	NOMENCLATURE_STATUS	SPLICE_RGD_ID	SPLICE_SYMBOL	GENE_TYPE	ENSEMBL_ID	GENE_REFSEQ_STATUS	CHROMOSOME_5.0	START_POS_5.0	STOP_POS_5.0	STRAND_5.0	CHROMOSOME_6.0	START_POS_6.0	STOP_POS_6.0	STRAND_6.0
1311794	Abi3	ABI family, member 3	INVOLVED IN regulation of cell migration (ortholog); ASSOCIATED WITH Smith-Magenis Syndrome (ortholog); FOUND IN cytoplasm (ortholog); intracellular (ortholog); lamellipodium (ortholog); INTERACTS WITH bisphenol A; dibutyl phthalate; oxaliplatin	10	10	10	q26	79537629	79548619	-	84557318	84568410	-	84542949	84554040	-	737633;6480464;8554872	12477932		303476	Q6AYC6		AABR07030386;AAHX01065751;BC079102;CH473948;FQ225352;NM_001013118;XM_008768045;XM_008768046		AAH79102;EDM05766;EDM05767;NP_001013136;XP_008766267;XP_008766268	Rn.95169	5049474;5081765;5499571	AI987680;AW434650;RH133502	LOC303476	ABI gene family member 3;ABI gene family, member 3;NESH protein			APPROVED			protein-coding	ENSRNOG00000005575	PROVISIONAL	10	83448188	83459284	-	10	83644086	83655182	-
1562717	Abi3bp	ABI family member 3 binding protein	ENCODES a protein that exhibits collagen binding (ortholog); glycosaminoglycan binding (ortholog); heparin binding (ortholog); INVOLVED IN extracellular matrix organization (ortholog); positive regulation of cell-substrate adhesion (ortholog); ASSOCIATED WITH Endometriosis (ortholog); FOUND IN extracellular matrix (ortholog); extracellular space (ortholog); interstitial matrix (ortholog); INTERACTS WITH benzo[a]pyrene; bisphenol A; diuron	11		11	q12	43684476	43899701	-				44853302	45072354	-	6480464;8554872		22485184	363767	F1M0R2;F1M1N9;F1M305;F1M9R3;F1M9R4;M0R4H0;M0R8H8		AABR07033966;AABR07033967;AABR07033968;AAHX01068846;AAHX01068847;AAHX01068848;AAHX01068849;AAHX01068850;AAHX01068851;CH473967;XM_006221114;XM_006221115;XM_006248232;XM_006248233;XM_008768665;XM_008768666;XM_008768667;XM_008768668;XM_008768669;XM_008776583;XM_008776586;XM_008776587;XM_008776588;XM_017598119;XM_017598120;XM_017598121;XM_017598122;XM_017598123;XM_017598124;XM_017598125;XM_017598126;XM_017598127;XM_017598128;XM_017598129;XM_017598130;XM_017598131;XM_017598132;XM_017598133;XM_017598134;XM_017598135;XM_017598136;XM_017598137;XM_017598138;XM_017598139;XM_017598140;XM_017598141;XM_017598142;XM_017598143;XM_017598144;XM_017598145;XM_017604309;XM_017604310;XM_017604311;XM_017604312;XM_017604313;XM_017604314;XM_017604315;XM_017604316;XM_017604317;XM_017604318;XM_017604319;XM_017604320;XM_017604321;XM_017604322;XM_017604323;XM_017604324;XM_017604325;XM_017604326;XM_017604327;XM_017604328;XM_017604329;XM_017604330;XM_017604331;XM_017604332;XM_017604333;XM_017604334;XM_017604335;XM_017604336		EDM11046;EDM11047;EDM11048;XP_006221176;XP_006221177;XP_006248294;XP_006248295;XP_008766887;XP_008766888;XP_008766889;XP_008766890;XP_008766891;XP_008774805;XP_008774808;XP_008774809;XP_008774810;XP_017453608;XP_017453609;XP_017453610;XP_017453611;XP_017453612;XP_017453613;XP_017453614;XP_017453615;XP_017453616;XP_017453617;XP_017453618;XP_017453619;XP_017453620;XP_017453621;XP_017453622;XP_017453623;XP_017453624;XP_017453625;XP_017453626;XP_017453627;XP_017453628;XP_017453629;XP_017453630;XP_017453631;XP_017453632;XP_017453633;XP_017453634;XP_017459798;XP_017459799;XP_017459800;XP_017459801;XP_017459802;XP_017459803;XP_017459804;XP_017459805;XP_017459806;XP_017459807;XP_017459808;XP_017459809;XP_017459810;XP_017459811;XP_017459812;XP_017459813;XP_017459814;XP_017459815;XP_017459816;XP_017459817;XP_017459818;XP_017459819;XP_017459820;XP_017459821;XP_017459822;XP_017459823;XP_017459824;XP_017459825		44883;5087394	AA926352;D11Got39	LOC363767;RGD1562717	ABI family, member 3 (NESH) binding protein;similar to ABI gene family, member 3 (NESH) binding protein;target of Nesh-SH3			APPROVED			protein-coding	ENSRNOG00000001627	MODEL	11	49392633	49608013	-	11	46206932	46422791	-
621008	Abi1	abl-interactor 1	ENCODES a protein that exhibits transcription factor binding; protein complex binding (ortholog); protein tyrosine kinase activator activity (ortholog); INVOLVED IN dendrite morphogenesis (ortholog); lamellipodium morphogenesis (ortholog); megakaryocyte development (ortholog); PARTICIPATES IN E-cadherin signaling pathway; platelet-derived growth factor signaling pathway; FOUND IN cell leading edge (ortholog); extracellular exosome (ortholog); filopodium (ortholog); INTERACTS WITH 2,4-dinitrotoluene; ammonium chloride; bisphenol A	17	17	17	q12.3	83715811	83796579	+	96587163	96659522	-	96576331	96648752	-	619610;632243;1600115;1580654;6480464;6484113;10002783;8553800;11251757	17304222;20531346;22102872;9593709	10995551;12477932;21464958	79249	A2VD09;Q9QZM5		AABR07028888;AAHX01093316;AAHX01093317;AAHX01093318;AF176784;BC129092;CB725283;CH474100;NM_024397;XM_006254353;XM_006254354;XM_006254355;XM_006254356;XM_006254357;XM_006254358;XM_006254359;XM_006254360		AAD55263;AAI29093;EDL83933;NP_077373;Q9QZM5;XP_006254415;XP_006254416;XP_006254417;XP_006254418;XP_006254419;XP_006254420;XP_006254421;XP_006254422	Rn.43675	35719;5025186;5074398;5084892;5089987	AI009242;AU049482;D17Rat51;RH127345;RH137994	E3b1;abi-1	abelson interactor 1;abl interactor 1;eps8 SH3 domain-binding protein;eps8 binding protein (e3B1), alternatively spliced;eps8-binding protein			APPROVED			protein-coding	ENSRNOG00000031325	VALIDATED	17	91617052	91698739	+	17	89951662	90033334	+
1565768	Ablim1	actin-binding LIM protein 1	ENCODES a protein that exhibits actin binding (ortholog); INVOLVED IN axon guidance (ortholog); cilium assembly (ortholog); lamellipodium assembly (ortholog); ASSOCIATED WITH Substance-Related Disorders (ortholog); FOUND IN actin cytoskeleton (ortholog); lamellipodium (ortholog); postsynaptic density (ortholog); INTERACTS WITH bisphenol A; diuron; rotenone	1		1	q55	251779866	252069514	-				263380818	263465905	-	1581350;1600115;1598407;6480464;8554872	15024025	12477932	307989	A0A0G2JW01;A0A0G2JY49;A0A0G2K5D0;A0A0G2K7Z4;E9PT39;F1LWK7;Q3KR72		AABR07007032;AAHX01000972;AAHX01000973;AAHX01000974;AAHX01000975;AAHX01000976;AAHX01000977;AAHX01000978;AAHX01000979;AAHX01000980;AAHX01000981;AAHX01000982;AAHX01000983;AAHX01000984;AAHX01000985;BC105867;CH473986;XM_003753431;XM_008774886;XM_017590287;XM_017590290;XM_017590292;XM_017590293;XM_017590295;XM_017590296;XM_017590299;XM_017590302;XM_017590304;XM_017590308;XM_017590313;XM_017590314;XM_017590315;XM_017590317;XM_017590319;XM_017590320;XM_017590321;XM_017590326;XM_017590327;XM_017590328;XM_017590329;XM_017590338;XM_017590400;XM_017590401		AAI05868;EDL94509;EDL94510;EDL94511;EDL94512;XP_003753479;XP_008773108;XP_017445776;XP_017445779;XP_017445781;XP_017445782;XP_017445784;XP_017445785;XP_017445788;XP_017445791;XP_017445793;XP_017445797;XP_017445802;XP_017445803;XP_017445804;XP_017445806;XP_017445808;XP_017445809;XP_017445810;XP_017445815;XP_017445816;XP_017445817;XP_017445818;XP_017445827;XP_017445889;XP_017445890	Rn.40404	5029653;5041098;5043248;5056809;5059244;5059844;5064556;5080206;5084428	AA944848;BF386652;BF387847;BF388033;BF399361;RH128661;RH129917;RH141446;RH144593	LOC307989;MGC125264;RGD1565768	similar to actin-binding LIM protein 1 long isoform			APPROVED			protein-coding	ENSRNOG00000046333	MODEL	1	285233699	285420807	-	1	277853877	278043096	-
1305693	Abhd8	abhydrolase domain containing 8	FOUND IN extracellular exosome (ortholog); INTERACTS WITH bisphenol A; C60 fullerene; dibutyl phthalate	16	16	16	p14	18349543	18356280	-	18628150	18634815	-	18628138	18634875	-	1580654;6480464		12477932	306338	B5DEN3		AAHX01086815;AC130741;BC168736;BC168761;BC168765;CH474031;NM_001107301		AAI68736;AAI68761;AAI68765;EDL90797;NP_001100771	Rn.22147	5039350;5087816;5502487	D8Bwg1484e;RH125067;RH127655	LOC306338	abhydrolase domain-containing protein 8			APPROVED			protein-coding	ENSRNOG00000000054	PROVISIONAL	16	19727394	19734131	-	16	19866028	19872765	-
1565118	Ablim3	actin binding LIM protein family, member 3	ENCODES a protein that exhibits actin binding (inferred); zinc ion binding (inferred); INVOLVED IN cilium assembly (ortholog); lamellipodium assembly (ortholog); positive regulation of protein targeting to mitochondrion (ortholog); ASSOCIATED WITH Liver Cirrhosis, Experimental (ortholog); FOUND IN lamellipodium (ortholog); stress fiber (ortholog); INTERACTS WITH 1-naphthyl isothiocyanate; 2,3,7,8-tetrachlorodibenzodioxine; 4,4'-diaminodiphenylmethane	18		18	q12.1	53406643	53525162	-				57781588	57900968	-	1600115;6480464;8554872			307395	A0A0G2K875;F1M8U2		AABR07032258;AABR07032259;AABR07032260;AAHX01095475;AAHX01095476;AAHX01095477;AAHX01095478;CH473971;FQ217083;NM_001191698;XM_008772144;XM_008772145;XM_008772146;XM_017600950;XM_017600951;XM_017600952;XM_017600953		EDM14622;EDM14623;NP_001178627;XP_008770366;XP_008770367;XP_008770368;XP_017456439;XP_017456440;XP_017456441;XP_017456442	Rn.39037	5064064	BE120588	LOC307395;RGD1565118	actin-binding LIM protein 3;similar to mKIAA0843 protein			APPROVED			protein-coding	ENSRNOG00000019365	PROVISIONAL	18	56354869	56474025	-	18	57126534	57245965	-
1303094	Ablim2	actin binding LIM protein family, member 2	ENCODES a protein that exhibits actin binding (inferred); zinc ion binding (inferred); INVOLVED IN positive regulation of transcription from RNA polymerase II promoter (ortholog); FOUND IN actin cytoskeleton (ortholog); myofibril (ortholog); INTERACTS WITH 6-propyl-2-thiouracil; benzo[a]pyrene; bisphenol A	14	14	14	q21	73798130	73922188	-	80502268	80626499	-	80499878	80624108	-	634611;6480464;8554872		16005990	360958	A0A0G2JTB5;A0A0G2JXC7;A0A0H2UHF9;A0A140TAH7;Q6KC51		AABR07015843;AABR07015844;AABR07072411;AAHX01080718;AAHX01080719;AC118993;AJ703892;AJ703893;NM_001001514;NM_001177695;XM_006251135;XM_006251137;XM_006251138;XM_006251139;XM_008770328;XM_008770329;XM_017599298;XM_017599299;XM_017599300;XM_017599301;XM_017599302;XM_017599303;XM_017599304;XM_017599305;XM_017599306;XM_017599307;XM_017599308;XM_017599309;XM_017599310;XM_017599311;XM_017599312;XM_017599313;XM_017599314		CAG28314;CAG28315;NP_001001514;NP_001171166;Q6KC51;XP_006251197;XP_006251199;XP_006251200;XP_006251201;XP_008768550;XP_008768551;XP_017454787;XP_017454788;XP_017454789;XP_017454790;XP_017454791;XP_017454792;XP_017454793;XP_017454794;XP_017454795;XP_017454796;XP_017454797;XP_017454798;XP_017454799;XP_017454800;XP_017454801;XP_017454802;XP_017454803	Rn.131797	5048748;5083401	BF391064;RH133082		abLIM-2;actin-binding LIM protein 2;actin-binding LIM protein family member 2			APPROVED			protein-coding	ENSRNOG00000007882	PROVISIONAL	14	79675672	79799079	-	14	80044217	80169491	-
708493	Abra	actin-binding Rho activating protein	ENCODES a protein that exhibits actin binding (ortholog); INVOLVED IN positive regulation of Rho protein signal transduction (ortholog); positive regulation of sequence-specific DNA binding transcription factor activity (ortholog); positive regulation of transcription from RNA polymerase II promoter (ortholog); ASSOCIATED WITH Cardiomyopathy, Dilated (ortholog); FOUND IN sarcomere; actin cytoskeleton (ortholog); myofibril (ortholog); INTERACTS WITH 2-deoxy-D-glucose; all-trans-retinoic acid; ammonium chloride	7	7	7	q31	69986321	69990389	-	77527614	77531683	-	77506885	77510953	-	1547846;1580654;1600115;6480464;8554061	11983702;15798203	12067735;12477932;19686740;22081479;26656831	286965	Q8K4K7		AABR07057620;AAHX01050244;AF336113;BC158575;CH473950;FQ224863;NM_175844		AAI58576;AAM94370;EDM16326;NP_787038;Q8K4K7	Rn.21198	5045696	RH131326	Ms1;Stars	actin-binding Rho-activating protein;striated muscle activator of Rho-dependent signaling			APPROVED			protein-coding	ENSRNOG00000007999	PROVISIONAL	7	80816575	80820643	-	7	80792615	80796683	-
1583256	Abracl	ABRA C-terminal like	INTERACTS WITH bisphenol A; 17beta-estradiol (ortholog); 2,3,7,8-tetrachlorodibenzodioxine (ortholog)	1		1	p12	11112403	11122593	-				13063558	13073748	-	6480464		12477932	685045	D3ZSL2;Q5FVK7		AABR07000448;AAHX01001623;BC089921;CH473994;CO569536;FQ221434;NM_001099647		AAH89921;EDL93765;NP_001093117	Rn.22702	5077250	RH139648	LOC685045	costars family protein ABRACL;hypothetical protein LOC685045;similar to Protein C6orf115;uncharacterized protein LOC685045			APPROVED			protein-coding	ENSRNOG00000051450	VALIDATED	1	14859230	14869420	-	1	13165583	13175773	-
1311152	Abo2	histo-blood group ABO system transferase 2	ENCODES a protein that exhibits transferase activity, transferring hexosyl groups (inferred); INVOLVED IN carbohydrate metabolic process (inferred); PARTICIPATES IN lacto-series glycosphingolipid metabolic pathway; FOUND IN integral component of membrane (inferred); INTERACTS WITH bisphenol A	3	3	3	p13	4828494	4829181	+	5309990	5597149	+	5589306	5596367	+	1600115;1580655;1600915;2307253;632674;2307071;2315741;2315736;625392;2317512;2317510;5128833;2317511;5128834;5128832;5128836;5128831;5128835;6480464;6907045	11842091;12499407;12626403;12799344;15042712;15784866;16008680;17206613;18988797;19771478;20103627;20181960;2142987;6189297;7795450;9036208		296504	D4A7T1		AABR07051348;AAHX01020514;AC126134;NM_001271298		NP_001258227		5026452	RH132268	Abo;NAGAT 2	ABO blood group (alpha 1-3-N-acetylgalactosaminyltransferase, alpha 1-3-galactosyltransferase);ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase;ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase, transferase B, alpha 1-3-galactosyltransferase);a transferase;b blood group galactosyltransferase;b transferase;blood group A glycosyltransferase 2;cis-AB transferase 2;fucosylglycoprotein 3-alpha-galactosyltransferase;fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase;glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase;glycoprotein-fucosylgalactoside alpha-galactosyltransferase;histo-blood group A transferase;histo-blood group ABO system transferase;histo-blood group B transferase;putative blood group A transferase T2;transferase B, alpha 1-3-galactosyltransferase)			APPROVED			protein-coding	ENSRNOG00000045801	VALIDATED	3	10737036	10753429	-	3	5386434	5402666	-
1306279	Abr	active BCR-related	ENCODES a protein that exhibits GTPase activator activity (ortholog); INVOLVED IN actin cytoskeleton organization (ortholog); brain development (ortholog); inner ear morphogenesis (ortholog); ASSOCIATED WITH Medulloblastoma (ortholog); Prostatic Neoplasms (ortholog); FOUND IN cytosol (ortholog); membrane (ortholog); plasma membrane (ortholog); INTERACTS WITH 6-propyl-2-thiouracil; bisphenol A; methylmercury chloride	10	10	10	q24	60277504	60420210	-	67631103	67774585	+	67617776	67760961	+	1580654;1580655;6480464;8554872		20962234	287537	A0A0G2JTR4;A0A0G2JZZ7		AABR07030047;AABR07072152;AAHX01064884;AAHX01064885;AAHX01064886;AAHX01064887;AAHX01064888;AAHX01064889;CH473948;FQ078152;FQ213411;NM_001105814		EDM05262;NP_001099284	Rn.44897	34445;5028527;5060824;5087680;7191225	AU042359;Abr;BE104553;D10Mgh6;d10mgh6	LOC287537	active BCR-related gene;active breakpoint cluster region-related protein			APPROVED			protein-coding	ENSRNOG00000056837	VALIDATED	10	63250866	63449251	+	10	64565121	64657079	-
2307241	Abo	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	ENCODES a protein that exhibits alpha-1,3-galactosyltransferase activity; glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity; fucosylgalactoside 3-alpha-galactosyltransferase activity (ortholog); INVOLVED IN cellular oligosaccharide metabolic process; negative regulation of apoptotic process; positive regulation of cell proliferation; PARTICIPATES IN lacto-series glycosphingolipid metabolic pathway; ASSOCIATED WITH Anemia, Hemolytic (ortholog); Asthma (ortholog); Coronary Artery Disease (ortholog); FOUND IN cytoplasmic vesicle; Golgi apparatus; INTERACTS WITH ammonium chloride; bisphenol A; cadmium dichloride	3		3	p13	4960630	4981265	-				5730553	5751204	-	6480464;625392;632674;1600915;2307071;2307253;2315736;2315741;2317511;2317512;5128831;5128832;5128833;5128834;5128835;5128836;6907045;11100010;11100003;11100013;11100002;11100012;11100006	11842091;12499407;12626403;12799344;15042712;15735796;15784866;16008680;17065136;17206613;18426641;18988797;19274076;19771478;20103627;2142987;3136561;3289150;6189297;7795450;9036208	12180981;12237302	100301568	Q8CFC4		AABR07051264;AAHX01020521;AAHX01020522;AB081652;AY228143;NM_001160263		AAO72725;BAC16248;NP_001153735;Q8CFC4	Rn.112591	5026452	RH132268	Abo2;LOC296504	ABO blood group (alpha 1-3-N-acetylgalactosaminyltransferase, alpha 1-3-galactosyltransferase);ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase;ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase, transferase B, alpha 1-3-galactosyltransferase);NAGAT 2;a transferase;b blood group galactosyltransferase;b transferase;blood group A glycosyltransferase 2;cis-AB transferase 2;fucosylglycoprotein 3-alpha-galactosyltransferase;fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase;glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase;glycoprotein-fucosylgalactoside alpha-galactosyltransferase;histo-blood group A transferase;histo-blood group ABO system transferase 2;histo-blood group B transferase;putative blood group A transferase T2;transferase B, alpha 1-3-galactosyltransferase)			APPROVED			protein-coding	ENSRNOG00000046958	PROVISIONAL	3	9729921	9749616	-	3	4374679	4394374	-
1310785	Abt1	activator of basal transcription 1	ENCODES a protein that exhibits poly(A) RNA binding (ortholog); INVOLVED IN regulation of transcription from RNA polymerase II promoter (ortholog); spinal cord motor neuron differentiation (ortholog); transcription from RNA polymerase II promoter (ortholog); ASSOCIATED WITH Disease Progression (ortholog); Stomach Neoplasms (ortholog); FOUND IN transcription factor complex (ortholog); INTERACTS WITH 2,4-dinitrotoluene; 2,6-dinitrotoluene; bisphenol A	17	17	17	p11	41329917	41332011	+	48903825	48906661	+	48901759	48903853	+	1600115;1580654;1580655;6480464		10648625;12477932;15489334	306960	Q4KLM5		AABR07027762;AAHX01091414;BC099109;CH474064;CV121702;NM_001025674;XM_006253972		AAH99109;EDL86602;NP_001020845;Q4KLM5;XP_006254034	Rn.16564	5025234	RH127530	LOC306960;MGC116249				APPROVED			protein-coding	ENSRNOG00000017585	VALIDATED	17	45800799	45802896	+	17	43946118	43948224	+
1590898	Abl2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ENCODES a protein that exhibits magnesium ion binding (ortholog); manganese ion binding (ortholog); protein tyrosine kinase activity (ortholog); INVOLVED IN actin cytoskeleton organization (ortholog); actin filament bundle assembly (ortholog); actin filament organization (ortholog); PARTICIPATES IN epidermal growth factor/neuregulin signaling pathway; myocarditis pathway; ASSOCIATED WITH Leukemia, Myelogenous, Chronic, BCR-ABL Positive (inferred); FOUND IN actin cytoskeleton (ortholog); dendritic spine (ortholog); lamellipodium (ortholog); INTERACTS WITH bisphenol A; C60 fullerene; dopamine	13		13	q22	68537724	68702946	+				71546918	71915301	+	1598407;1600115;1298615;6480464;6907045;8554872	7773298	12796783;16831423	304883	F1M0N1		AABR07021474;AABR07021475;AABR07021476;AABR07021477;AABR07021478;AABR07021479;AABR07021480;AABR07021481;AABR07021482;AABR07021483;AAHX01076120;AAHX01076121;AAHX01076122;AAHX01076123;AAHX01076124;AAHX01076125;AAHX01076126;AAHX01076127;AAHX01076128;CH473958;NM_001107186;XM_006250046;XM_006250047;XM_006250048;XM_006250049;XM_006250050;XM_006250051;XM_006250052;XM_006250053;XM_006250054;XM_006250055;XM_017598810		EDM09480;NP_001100656;XP_006250108;XP_006250109;XP_006250110;XP_006250111;XP_006250112;XP_006250113;XP_006250114;XP_006250115;XP_006250116;XP_006250117;XP_017454299	Rn.69847	5048386;5066164;5082209;5083519;5086931;60048	AA801206;AA925877;BI274170;BI282517;D13Got50;RH132874	Abl2_mapped;Abll;Arg	Abelson murine leukemia viral (v-abl) oncogene homolog 2;Abelson murine leukemia viral (v-abl) oncogene homolog 2 (Abelson-related gene);Abelson murine leukemia viral (v-abl) oncogene homolog 2 (mapped);Abelson tyrosine-protein kinase 2;Abl1-related gene product;arg tyrosine kinase;c-abl oncogene 2, non-receptor tyrosine kinase;tyrosine-protein kinase ABL2;v-abl Abelson murine leukemia viral oncogene 2;v-abl Abelson murine leukemia viral oncogene homolog 2;v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)			APPROVED			protein-coding	ENSRNOG00000004305	PROVISIONAL	13	79074821	79253783	+	13	74154533	74333244	+
1584969	Abl1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ENCODES a protein that exhibits delta-catenin binding; protein kinase activity; protein kinase binding; INVOLVED IN actin filament polymerization; associative learning; cellular response to oxidative stress; PARTICIPATES IN p53 signaling pathway; platelet-derived growth factor signaling pathway; cell cycle pathway, mitotic; ASSOCIATED WITH Memory Disorders; Parkinson Disease; Ureteral Obstruction; FOUND IN cytoplasm; endoplasmic reticulum; growth cone; INTERACTS WITH ammonium chloride; bisphenol A; C60 fullerene			3	p12							10804594	10907162		1298612;1298613;1598670;1598671;1598672;1598673;1600115;6480464;6484113;6907045;8693571;8693414;8662965;8693409;8693418;8693597;8693575;8693411;8693579;8693588;8693421;8693596;8693592;8693570;8693407;8693396;8693403;8693572;8693585;8693599;10047095;10047094;8554872;10450603;11038812;11038814;11038809;11038811;11038807	10679771;10700189;11509666;11559572;11891774;12161353;15456825;15474370;15629889;16151024;16831423;17615370;18559370;18591368;19344397;19700222;19846571;20220006;20519366;20679336;20823226;20883783;21481795;2166578;21715626;23289634;23515840;23532861;24412932;25049327;2841925;3021820;3456563;9583675	10970852;11864995;20585028;20610769;22301057;7565706;8663064	311860	D3ZGM3;E9PT20;Q2PYT4		AABR07072853;AAHX01434221;AC105586;CH474001;DQ294401;DQ294402;NM_001100850;XM_006233918		ABC46642;ABC46643;EDL93267;NP_001094320;XP_006233980	Rn.3105	36657;5032038;5040222	AU028664;D3Rat58;RH128159	Abl;Abl1_mapped	Abelson murine leukemia viral (v-abl) oncogene homolog 1;c-abl oncogene 1, non-receptor tyrosine kinase;c-abl oncogene 1, receptor tyrosine kinase;tyrosine-protein kinase ABL1;v-abl Abelson murine leukemia viral oncogene 1;v-abl Abelson murine leukemia viral oncogene homolog 1;v-abl Abelson murine leukemia viral oncogene homolog 1 (mapped)			APPROVED			protein-coding	ENSRNOG00000009371;ENSRNOG00000047356	VALIDATED	3	15401182	15504438	-	3	10041820	10145076	-
628609	Abo3	histo-blood group ABO system transferase 3	ENCODES a protein that exhibits glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity; INVOLVED IN defense response to bacterium; FOUND IN extracellular region (inferred); Golgi cisterna membrane (inferred); integral component of membrane (inferred)	3		3	p13	4553035	4569671	+				5253147	5269783	+	625720;631948;625392;1600115;1580654;1580655;6480464	11842091;12180981;12237302	12799344	65270	A0A0H2UHD6;A0A0H2UI32;Q9ET32		AABR07051342;AAHX01020502;AB081649;AB081650;AB081651;AF264018;AF296761;AF296762;AF469945;AF469946;AH011509;NM_023094;XM_017592028		AAF74758;AAL82445;AAL82446;AAL82447;AAL98710;AAL98711;BAC16245;BAC16246;BAC16247;NP_075582;Q9ET32;XP_017447517	Rn.229737			Abo;Abol1;Gbgt1	ABO blood group (alpha 1-3-N-acetylgalactosaminyltransferase, alpha 1-3-galactosyltransferase);ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase;ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase, transferase B, alpha 1-3-galactosyltransferase);ABO blood group (transferase B, alpha 1-3-galactosyltransferase);ABO blood group-like 1;B blood group galactosyltransferase;N-acetylgalactosaminyltransferase A blood group-like enzyme;NAGAT 1;a transferase;alpha 1-3-N-acetylgalactosaminyltransferase-like 1;b transferase;blood group A glycosyltransferase 1;cis-AB transferase 1;fucosylglycoprotein 3-alpha-galactosyltransferase;fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase;globoside alpha-1,3-N-acetylgalactosaminyltransferase 1;glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase;glycoprotein-fucosylgalactoside alpha-galactosyltransferase;histo-blood group A transferase;histo-blood group ABO system transferase 1;histo-blood group B transferase;transferase B, alpha 1-3-galactosyltransferase)			APPROVED			protein-coding	ENSRNOG00000039906	PROVISIONAL	3	10462400	10479896	+	3	5109880	5127376	+
620724	Abtb2	ankyrin repeat and BTB domain containing 2	ENCODES a protein that exhibits protein heterodimerization activity (inferred); INVOLVED IN cellular response to toxic substance (ortholog); FOUND IN nucleoplasm (ortholog); nucleus (ortholog); INTERACTS WITH 2,3,7,8-tetrachlorodibenzodioxine; 2,4-dinitrotoluene; 6-propyl-2-thiouracil	3	3	3	q32	89022954	89176876	+	88754763	88908594	+	88858336	89012166	+	619610;632483;1600115;1580655;6480464;8554872	9109406	8889548	171440	A0A0G2JUJ7;F1M979;O08764		AABR07053136;AAHX01023972;AAHX01023973;AAHX01023974;AAHX01023975;AB000216;BQ203018;CB609664;CB714885;CH473949;CV110237;DY545654;FQ233420;NM_134403		BAA19969;EDL79669;EDL79670;NP_599230;O08764	Rn.11149	5045630;5050514;5051334;5085804;60396	AW539457;BM384314;D3Got47;RH131288;RH134100	Cca3	ankyrin repeat and BTB (POZ) domain containing 2;ankyrin repeat and BTB/POZ domain-containing protein 2;confluent 3Y1 cell-associated protein			APPROVED			protein-coding	ENSRNOG00000008510	VALIDATED	3	100136224	100290000	+	3	93494706	93648750	+
1359363	Abtb1	ankyrin repeat and BTB domain containing 1	ENCODES a protein that exhibits translation elongation factor activity (inferred); INVOLVED IN translational elongation (inferred); FOUND IN cytoplasm (ortholog); nucleolus (ortholog); plasma membrane (ortholog); INTERACTS WITH 2,3,7,8-tetrachlorodibenzodioxine; buspirone; flutamide	4	4	4	q34	110252518	110258745	-	123174884	123181112	-	122930404	122936631	-	737633;1554270;1580654;1600115;6480464	11494141;12477932	15489334	297432	Q5XIU1		AAHX01031430;AC120997;BC083579;CH473957;NM_001005902		AAH83579;EDL91318;EDL91319;NP_001005902;Q5XIU1	Rn.40721	5505544	D12S2044	MGC94157	ankyrin repeat and BTB (POZ) domain containing 1;ankyrin repeat and BTB/POZ domain-containing protein 1			APPROVED			protein-coding	ENSRNOG00000015762	PROVISIONAL	4	186019181	186025416	-	4	120778580	120784807	-
